API Name,Summary
cue-after,"The cue-after property specifies a sound file (known as an ""auditory icon"") to be played by speech media agents after presenting an element's content; the volume at which the file should be played may also be specified. The shorthand property cue sets cue sounds for both before and after the element is presented."
direction,"The direction CSS property specifies the text direction/writing direction. The rtl is used for Hebrew or Arabic text, the ltr is for other languages."
display,This property specifies the type of rendering box used for an element. It is a shorthand property for many other display properties.
fill,"The ‘fill’ property paints the interior of the given graphical element. The area to be painted consists of any areas inside the outline of the shape. To determine the inside of the shape, all subpaths are considered, and the interior is determined according to the rules associated with the current value of the ‘fill-rule’ property. The zero-width geometric outline of a shape is included in the area to be painted."
fill-opacity,fill-opacity’ specifies the opacity of the painting operation used to paint the interior the current object. (See Painting shapes and text.)
fill-rule,"The ‘fill-rule’ property indicates the algorithm which is to be used to determine what parts of the canvas are included inside the shape. For a simple, non-intersecting path, it is intuitively clear what region lies ""inside""; however, for a more complex path, such as a path that intersects itself or where one subpath encloses another, the interpretation of ""inside"" is not so obvious.
The ‘fill-rule’ property provides two options for how the inside of a shape is determined:"
filter,Applies various image processing effects. This property is largely unsupported. See Compatibility section for more information.
flex,"The flex CSS property specifies the ability of a flex item to alter its dimensions to fill the available space. flex is a shorthand property comprised of the flex-grow, flex-shrink, and flex-basis properties. A flex item can be stretched to use available space proportional to its flex grow factor, or reduced proportional to its flex shrink factor to prevent overflow."
flex-align,"Obsolete, do not use. This property has been renamed to align-items.
Specifies the alignment (perpendicular to the layout axis defined by the flex-direction property) of child elements of the object."
flex-basis,The flex-basis CSS property describes the initial main size of the flex item before any free space is distributed according to the flex factors described in the flex property (flex-grow and flex-shrink).
flex-direction,"The flex-direction CSS property describes how flex items are placed in the flex container, by setting the direction of the flex container's main axis."
flex-flow,The flex-flow CSS property defines the flex container's main and cross axis. It is a shorthand property for the flex-direction and flex-wrap properties.
flex-grow,The flex-grow CSS property specifies how much a flex item will enlarge with respect to the other items in the flex container to fill an expanded container.
flex-item-align,"Do not use. This property has been renamed to align-self
Specifies the alignment (perpendicular to the layout axis defined by flex-direction) of child elements of the object."
flex-line-pack,"Do not use. This property has been renamed to align-content.
Specifies how a flexbox's lines align within the flexbox when there is extra space along the axis that is perpendicular to the axis defined by the flex-direction property."
flex-order,Gets or sets a value that specifies the ordinal group that a flexbox element belongs to. This ordinal value identifies the display order for the group.
flex-shrink,The flex-shrink CSS property specifies how much a flex item will be reduced with respect to the other items in the flex container to fit within a reduced container.
float,"Elements which have the style float are floated horizontally. These elements can move as far to the left or right of the containing element. All elements after the floating element will flow around it, but elements before the floating element are not impacted. If several floating elements are placed after each other, they will float next to each other as long as there is room."
flow-from,Flows content from a named flow (specified by a corresponding flow-into) through selected elements to form a dynamic chain of layout regions.
font,"The font property is shorthand that allows you to do one of two things: you can either set up six of the most mature font properties in one line, or you can set one of a choice of keywords to adopt a system font setting."
font-family,The font-family property allows one or more font family names and/or generic family names to be specified for usage on the selected element(s)' text. The browser then goes through the list; for each character in the selection it applies the first font family that has an available glyph for that character.
font-kerning,"The font-kerning property allows contextual adjustment of inter-glyph spacing, i.e. the spaces between the characters in text. This property controls <bold>metric kerning</bold> - that utilizes adjustment data contained in the font. Optical Kerning is not supported as yet."
font-size-adjust,"The font-size-adjust property adjusts the font-size of the fallback fonts defined with font-family, so that the x-height is the same no matter what font is used. This preserves the readability of the text when fallback happens."
font-stretch,"Allows you to expand or condense the widths for a normal, condensed, or expanded font face."
font-style,"The font-style property allows normal, italic, or oblique faces to be selected. Italic forms are generally cursive in nature while oblique faces are typically sloped versions of the regular face. Oblique faces can be simulated by artificially sloping the glyphs of the regular face."
font-synthesis,This value specifies whether the user agent is allowed to synthesize bold or oblique font faces when a font family lacks bold or italic faces.
font-variant,The font-variant property enables you to select the small-caps font within a font family.
font-variant-alternates,Fonts can provide alternate glyphs in addition to default glyph for a character. This property provides control over the selection of these alternate glyphs.
font-weight,The font-weight property specifies the weight or boldness of the font (their degree of blackness or stroke thickness). Note that some fonts are not available in all weights; some are available only on normal and bold.
grid-area,"Lays out one or more grid items bound by 4 grid lines. Shorthand for setting grid-column-start, grid-column-end, grid-row-start, and grid-row-end in a single declaration."
grid-column,"Controls a grid item's placement in a grid area, particularly grid position and a grid span. Shorthand for setting grid-column-start and grid-column-end in a single declaration."
grid-column-end,"Controls a grid item's placement in a grid area as well as grid position and a grid span. The grid-column-end property (with grid-row-start, grid-row-end, and grid-column-start) determines a grid item's placement by specifying the grid lines of a grid item's grid area."
grid-column-start,"Determines a grid item's placement by specifying the starting grid lines of a grid item's grid area . A grid item's placement in a grid area consists of a grid position and a grid span. See also ( grid-row-start, grid-row-end, and grid-column-end)"
grid-row,Gets or sets a value that indicates which row an element within a Grid should appear in. Shorthand for setting grid-row-start and grid-row-end in a single declaration.
grid-row-end,"Determines a grid item’s placement by specifying the block-end. A grid item's placement in a grid area consists of a grid position and a grid span. The grid-row-end property (with grid-row-start, grid-column-start, and grid-column-end) determines a grid item's placement by specifying the grid lines of a grid item's grid area."
grid-row-position,"Specifies a row position based upon an integer location, string value, or desired row size.
css/properties/grid-row is used as short-hand for grid-row-position and grid-row-position"
grid-row-span,
grid-template-areas,"Specifies named grid areas which are not associated with any particular grid item, but can be referenced from the grid-placement properties. The syntax of the grid-template-areas property also provides a visualization of the structure of the grid, making the overall layout of the grid container easier to understand."
grid-template-columns,"Specifies (with grid-template-rows) the line names and track sizing functions of the grid. Each sizing function can be specified as a length, a percentage of the grid container’s size, a measurement of the contents occupying the column or row, or a fraction of the free space in the grid."
grid-template-rows,"Specifies (with grid-template-columns) the line names and track sizing functions of the grid. Each sizing function can be specified as a length, a percentage of the grid container’s size, a measurement of the contents occupying the column or row, or a fraction of the free space in the grid."
height,"Sets the height of an element. The content area of the element height does not include the padding, border, and margin of the element."
hyphenate-limit-chars,Specifies the minimum number of characters in a hyphenated word
hyphenate-limit-lines,Indicates the maximum number of successive hyphenated lines in an element. The ‘no-limit’ value means that there is no limit.
hyphenate-limit-zone,Specifies the maximum amount of trailing whitespace (before justification) that may be left in a line before hyphenation is triggered to pull part of a word from the next line back up into the current one.
hyphens,Specifies whether or not words in a sentence can be split by the use of a manual or automatic hyphenation mechanism.
ime-mode,
layout-grid,
layout-grid-char,
layout-grid-line,
layout-grid-mode,
layout-grid-type,
left,Sets the left edge of an element
letter-spacing,The letter-spacing CSS property specifies the spacing behavior between text characters.
line-break,"Deprecated. Gets or sets line-breaking rules for text in selected languages such as Japanese, Chinese, and Korean."
line-height,The line-height property specifies the height of an inline block level element. The value of the line-height property cannot be negative.
list-style,"Shorthand property that sets the list-style-type, list-style-position and list-style-image properties in one declaration."
list-style-image,"This property sets the image that will be used as the list item marker. When the image is available, it will replace the marker set with the 'list-style-type' marker. That also means that if the image is not available, it will show the style specified by list-style-property"
list-style-position,Specifies if the list-item markers should appear inside or outside the content flow.
list-style-type,Specifies the type of list-item marker in a list.
margin,"The margin property is shorthand to allow you to set all four margins of an element at once. Its equivalent longhand properties are margin-top, margin-right, margin-bottom and margin-left. Negative values are also allowed."
margin-bottom,margin-bottom sets the bottom margin of an element.
margin-left,margin-left sets the left margin of an element.
margin-right,margin-right sets the right margin of an element.
margin-top,margin-top sets the top margin of an element.
marquee-direction,The marquee-direction determines the initial direction in which the marquee content moves.
marquee-style,The 'marquee-style' property determines a marquee's scrolling behavior.
mask,"This property is shorthand for setting mask-image, mask-mode, mask-repeat, mask-position, mask-clip, mask-origin, mask-composite and mask-size. Omitted values are set to their original properties' initial values."
mask-border,"This property is shorthand for setting mask-border-source, mask-border-slice, mask-border-width, mask-border-outset, and mask-border-repeat. Omitted values are set to their original properties' initial values."
mask-border-repeat,"This property specifies how the images for the sides and the middle part of the mask image are scaled and tiled. The first keyword applies to the horizontal sides, the second one applies to the vertical ones. If the second keyword is absent, it is assumed to be the same as the first, similar to the CSS border-image-repeat property."
mask-border-slice,"This property specifies inward offsets from the top, right, bottom, and left edges of the mask image, dividing it into nine regions: four corners, four edges, and a middle. The middle image part is discarded and treated as fully transparent black unless the fill keyword is present. The four values set the top, right, bottom and left offsets in that order, similar to the CSS border-image-slice property."
mask-border-source,"Specifies an image to be used as a mask. An image that is empty, fails to download, is non-existent, or cannot be displayed is ignored and does not mask the element."
mask-border-width,"This property sets the width of the mask box image, similar to the CSS border-image-width property."
mask-clip,"Determines the mask painting area, which defines the area that is affected by the mask. The painted content of an element may be restricted to this area."
mask-origin,"For elements rendered as a single box, specifies the mask positioning area. For elements rendered as multiple boxes (e.g., inline boxes on several lines, boxes on several pages) specifies which boxes box-decoration-break operates on to determine the mask positioning area(s)."
max-font-size,"This property must not be used. It is no longer included in any standard or standard track specification, nor is it implemented in any browser. It is only used when the text-align-last property is set to size. It controls allowed adjustments of font-size to fit line content."
max-height,"Sets the maximum height for an element. It prevents the height of the element to exceed the specified value. If min-height is specified and is greater than max-height, max-height is overridden."
max-width,Sets the maximum width for an element. It limits the width property to be larger than the value specified in max-width.
min-width,Sets the minimum width of an element. It limits the width property to be not smaller than the value specified in min-width.
orphans,"In typography terms, an orphan is the first line of a paragraph that is left behind on the old page while the paragraph continues on the next. The orphans CSS property refers to the minimum number of lines in a block container that must be left at the bottom of the old page. This property is normally used to control how page breaks occur. This property only affects paged media such as print.
For example, if a paragraph can't fit on one page in its entirety it is split wherever it is possible. In this way single lines of a paragraph can appear on page before it continues on the next page. This is usually unwanted, so many word processors require at least two lines to be left on an old page, instead of one. You can give it either a positive number (where 2 is the default) or inherit.
Note that the orphan property does not generally affect non-paged media such as screen. However, browsers supporting both orphans and columns will apply the intended functionality to columns as well. Also, the property only affects block-level elements."
outline,"The CSS outline property is a shorthand property for setting one or more of the individual outline properties outline-style, outline-width and outline-color in a single rule. In most cases the use of this shortcut is preferable and more convenient.
Outlines differ from borders in the following ways: 	•	Outlines do not take up space, they are drawn above the content.
	•	Outlines may be non-rectangular. They are rectangular in Gecko/Firefox. Internet Explorer attempts to place the smallest contiguous outline around all elements or shapes that are indicated to have an outline. Opera draws a non-rectangular shape around a construct."
outline-color,"The outline-color property sets the color of the outline of an element. An outline is a line that is drawn around elements, outside the border edge, to make the element stand out."
outline-offset,The outline-offset property offsets the outline and draw it beyond the border edge.
overflow,"The overflow property controls how extra content exceeding the bounding box of an element is rendered. It can be used in conjunction with an element that has a fixed width and height, to eliminate text-induced page distortion."
overflow-style,Specifies the preferred scrolling methods for elements that overflow.
overflow-x,The overflow-x property is a specific case of the generic overflow property. It controls how extra content exceeding the x-axis of the bounding box of an element is rendered.
padding,"The padding optional CSS property sets the required padding space on one to four sides of an element. The padding area is the space between an element and its border. Negative values are not allowed but decimal values are permitted. The element size is treated as fixed, and the content of the element shifts toward the center as padding is increased.
The padding property is a shorthand to avoid setting each side separately (padding-top, padding-right, padding-bottom, padding-left)."
padding-bottom,"The padding-bottom CSS property of an element sets the padding space required on the bottom of an element. The padding area is the space between the content of the element and its border. Contrary to margin-bottom values, negative values of padding-bottom are invalid."
padding-left,"The padding-left CSS property of an element sets the padding space required on the left side of an element. The padding area is the space between the content of the element and its border. Contrary to margin-left values, negative values of padding-left are invalid."
padding-right,"The padding-right CSS property of an element sets the padding space required on the right side of an element. The padding area is the space between the content of the element and its border. Contrary to margin-right values, negative values of padding-right are invalid."
padding-top,"The padding-top CSS property of an element sets the padding space required on the top of an element. The padding area is the space between the content of the element and its border. Contrary to margin-top values, negative values of padding-top are invalid."
page-break-after,"The page-break-after property is supported in all major browsers. With CSS3, page-break-* properties are only aliases of the break-* properties. The CSS3 Fragmentation spec defines breaks for all CSS box fragmentation."
page-break-before,"The page-break-before property sets the page-breaking behavior before an element. With CSS3, page-break-* properties are only aliases of the break-* properties. The CSS3 Fragmentation spec defines breaks for all CSS box fragmentation."
page-break-inside,"Sets the page-breaking behavior inside an element. With CSS3, page-break-* properties are only aliases of the break-* properties. The CSS3 Fragmentation spec defines breaks for all CSS box fragmentation."
pause,The pause property determines how long a speech media agent should pause before and after presenting an element. It is a shorthand for the pause-before and pause-after properties.
pause-after,"The pause-after property determines how long a speech media agent should pause after presenting an element. It may be replaced by the shorthand property pause, which sets pause time before and after."
pause-before,"The pause-before property determines how long a speech media agent should pause before presenting an element. It may be replaced by the shorthand property pause, which sets pause time before and after."
perspective,"The perspective property defines how far an element is placed from the view on the z-axis, from the screen to the viewer.
Perspective defines how an object is viewed. In graphic arts, perspective is the representation on a flat surface of what the viewer's eye would see in a 3D space. (See Wikipedia for more information about graphical perspective and for related illustrations.)
The illusion of perspective on a flat surface, such as a computer screen, is created by projecting points on the flat surface as they would appear if the flat surface were a window through which the viewer was looking at the object. In discussion of virtual environments, this flat surface is called a projection plane."
perspective-origin,"The perspective-origin property establishes the origin for the perspective property. It effectively sets the X and Y position at which the viewer appears to be looking at the children of the element.
When used with perspective, perspective-origin changes the appearance of an object, as if a viewer were looking at it from a different origin. An object appears differently if a viewer is looking directly at it versus looking at it from below, above, or from the side. Thus, the perspective-origin is like a vanishing point.
The default value of perspective-origin is 50% 50%. This displays an object as if the viewer's eye were positioned directly at the center of the screen, both top-to-bottom and left-to-right. A value of 0% 0% changes the object as if the viewer was looking toward the top left angle. A value of 100% 100% changes the appearance as if viewed toward the bottom right angle."
pointer-events,"The pointer-events property allows you to control whether an element can be the target for the pointing device (e.g, mouse, pen) events."
position,"The position property controls the type of positioning used by an element within its parent elements. The effect of the position property depends on a lot of factors, for example the position property of parent elements."
punctuation-trim,"Obsolete: unsupported.
This property determines whether or not a full-width punctuation mark character should be trimmed if it appears at the beginning of a line, so that its ""ink"" lines up with the first glyph in the line above and below."
quotes,Sets the type of quotation marks for embedded quotations.
region-fragment,"Controls whether the last region in a chain displays additional 'overset' content according its default overflow property, or if it displays a fragment of content as if it were flowing into a subsequent region."
rest-after,"The rest-after property determines how long a speech media agent should pause after presenting an element's main content, before presenting that element's exit cue sound. It may be replaced by the shorthand property rest, which sets rest time before and after."
rest-before,"The rest-before property determines how long a speech media agent should pause after presenting an intro cue sound for an element, before presenting that element's main content. It may be replaced by the shorthand property rest, which sets rest time before and after."
right,Specifies the position an element in relation to the right side of the containing element.
ruby-align,
ruby-position,
shape-image-threshold,"Defines the alpha channel threshold used to extract a shape from an image. Can be thought of as a ""minimum opacity"" threshold; that is, a value of 0.5 means that the shape will enclose all the pixels that are more than 50% opaque."
shape-inside,"A future level of CSS Shapes will define a shape-inside property, which will define a shape to wrap content within the element. See Editor's Draft <http://dev.w3.org/csswg/css-shapes/> and CSSWG wiki page on next-level plans <http://wiki.csswg.org/spec/css-shapes>"
shape-margin,"Adds a margin to a shape-outside. In effect, defines a new shape that is the smallest contour around all the points that are the shape-margin distance outward perpendicular to each point on the underlying shape. For points where a perpendicular direction is not defined (e.g., a triangle corner), takes all points on a circle centered at the point and with a radius of the shape-margin distance. This property accepts only non-negative values."
shape-outside,"Declares a shape around which text should be wrapped, with possible modifications from the shape-margin property. The shape defined by shape-outside and shape-margin changes the geometry of a float element's float area."
speak,The speak property determines whether or not a speech synthesizer will read aloud the contents of an element.
speak-as,"The speak-as property determines how the speech synthesizer interprets the content: words as whole words or as a sequence of letters, numbers as a numerical value or a sequence of digits, punctuation as pauses in speech or named punctuation characters."
tab-size,The tab-size CSS property is used to customise the width of a tab (U+0009) character.
table layout,"The 'table-layout' property controls the algorithm used to lay out the table cells, rows, and columns."
text-align,"The text-align CSS property describes how inline content like text is aligned in its parent block element. text-align does not control the alignment of block elements itself, only their inline content."
text-align-last,The text-align-last CSS property describes how the last line of a block element or a line before line break is aligned in its parent block element.
text-decoration,"The text-decoration CSS property is used to set the text formatting to underline, overline, line-through or blink. 
underline and overline decorations are positioned under the text, line-through over it."
text-decoration-color,"Sets the color of any text decoration, such as underlines, overlines, and strike throughs."
text-decoration-line,"Sets what kind of line decorations are added to an element, such as underlines, overlines, etc."
text-decoration-line-through,
text-decoration-none,
text-decoration-overline,
text-decoration-skip,Specifies what parts of an element’s content are skipped over when applying any text decoration.
text-decoration-style,This property specifies the style of the text decoration line drawn on the specified element. The intended meaning for the values are the same as those of the border-style-properties.
text-decoration-underline,
text-emphasis,The text-emphasis property will apply special emphasis marks to the elements text. Slightly similar to the text-decoration property only that this property can have affect on the line-height. It also is noted that this is shorthand for text-emphasis-style and for text-emphasis-color.
text-emphasis-color,The text-emphasis-color property specifies the foreground color of the emphasis marks.
text-emphasis-style,The text-emphasis-style property applies special emphasis marks to an element's text.
text-height,"This property helps determine an inline box's block-progression dimension, derived from the text-height and font-size properties for non-replaced elements, the height or the width for replaced elements, and the stacked block-progression dimension for inline-block elements. The block-progression dimension determines the position of the padding, border and margin for the element."
text-indent,Specifies the amount of space horizontally that should be left on the first line of the text of an element. This horizontal spacing is at the beginning of the first line and is in respect to the left edge of the containing block box.
text-justify-trim,
text-kashida-space,
text-line-through,"The text-line-through property is a shorthand property for text-line-through-style, text-line-through-color and text-line-through-mode. (Considered obsolete; use text-decoration instead.)"
text-line-through-color,"Specifies the line colors for the line-through text decoration.
(Considered obsolete; use text-decoration-color instead.)"
text-line-through-mode,"Sets the mode for the line-through text decoration, determining whether the text decoration affects the space characters or not.
(Considered obsolete; use text-decoration-skip instead.)"
text-line-through-style,"Specifies the line style for line-through text decoration.
(Considered obsolete; use text-decoration-style instead.)"
text-line-through-width,Specifies the line width for the line-through text decoration.
text-overflow,"The text-overflow shorthand CSS property determines how overflowed content that is not displayed is signaled to the users. It can be clipped, display an ellipsis ('…', U+2026 HORIZONTAL ELLIPSIS) or a Web author-defined string. It covers the two long-hand properties text-overflow-mode and text-overflow-ellipsis"
text-overline,"The text-overline property is the shorthand for the text-overline-style, text-overline-width, text-overline-color, and text-overline-mode properties."
text-overline-color,Specifies the line color for the overline text decoration.
text-overline-mode,"Sets the mode for the overline text decoration, determining whether the text decoration affects the space characters or not."
text-overline-style,Specifies the line style for overline text decoration.
text-overline-width,Specifies the line width for the overline text decoration.
text-rendering,"The text-rendering CSS property provides information to the browser about how to optimize when rendering text. Options are: legibility, speed or geometric precision."
text-script,Obsolete: unsupported.
text-shadow,"The CSS text-shadow property applies one or more drop shadows to the text and <text-decorations> of an element. Each shadow is specified as an offset from the text, along with optional color and blur radius values."
text-transform,This property transforms text for styling purposes. (It has no effect on the underlying content.)
text-underline-position,"Unsupported.
This property will add a underline position value to the element that has an underline defined."
text-underline-style,"After review this should be replaced by text-decoration should it not?
This property will set the underline style for text with a line value for underline, overline, and line-through."
top,"This property specifies how far an absolutely positioned box's top margin edge is offset below the top edge of the box's containing block. For relatively positioned boxes, the offset is with respect to the top edges of the box itself (i.e., the box is given a position in the normal flow, then offset from that position according to these properties)."
touch-action,"Determines whether touch input may trigger default behavior supplied by the user agent, such as panning or zooming."
transform,"CSS transforms allow elements styled with CSS to be transformed in two-dimensional or three-dimensional space. Using this property, elements can be translated, rotated, scaled, and skewed. The value list may consist of 2D and/or 3D transform values."
transform-origin,This property defines the origin of the transformation axes relative to the element to which the transformation is applied.
transform-origin-z,This property allows you to define the relative position of the origin of the transformation grid along the z-axis.
transform-style,This property specifies how nested elements are rendered in 3D space relative to their parent.
transition,"The transition CSS property is a shorthand property for transition-property, transition-duration, transition-timing-function, and transition-delay. It allows to define the transition between two states of an element."
transition-delay,"Defines when the transition will start. A value of ‘0s’ means the transition will execute as soon as the property is changed. Otherwise, the value specifies an offset from the moment the property is changed, and the transition will delay execution by that offset."
transition-duration,The 'transition-duration' property specifies the length of time a transition animation takes to complete.
transition-property,The 'transition-property' property specifies the name of the CSS property to which the transition is applied.
transition-timing-function,Sets the pace of action within a transition
unicode-bidi,The unicode-bidi CSS property specifies the level of embedding with respect to the bidirectional algorithm.
